"Step","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam0.1-01161659 - val-core/GSM8K/reward/mean@1","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam0.1-01161659 - val-core/GSM8K/reward/mean@1__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam0.1-01161659 - val-core/GSM8K/reward/mean@1__MAX","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam0.5-01161659 - val-core/GSM8K/reward/mean@1","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam0.5-01161659 - val-core/GSM8K/reward/mean@1__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam0.5-01161659 - val-core/GSM8K/reward/mean@1__MAX","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam2.0-01161659 - val-core/GSM8K/reward/mean@1","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam2.0-01161659 - val-core/GSM8K/reward/mean@1__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam2.0-01161659 - val-core/GSM8K/reward/mean@1__MAX","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - val-core/GSM8K/reward/mean@1","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - val-core/GSM8K/reward/mean@1__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - val-core/GSM8K/reward/mean@1__MAX"
"0","0.4336618650492798","0.4336618650492798","0.4336618650492798","0.4336618650492798","0.4336618650492798","0.4336618650492798","0.43290371493555724","0.43290371493555724","0.43290371493555724","0.42835481425322214","0.42835481425322214","0.42835481425322214"
"5","0.4382107657316149","0.4382107657316149","0.4382107657316149","0.4533737680060652","0.4533737680060652","0.4533737680060652","0.4564063684609553","0.4564063684609553","0.4564063684609553","0.45034116755117515","0.45034116755117515","0.45034116755117515"
"10","0.46626231993934797","0.46626231993934797","0.46626231993934797","0.4541319181197877","0.4541319181197877","0.4541319181197877","0.4655041698256255","0.4655041698256255","0.4655041698256255","0.45261561789234267","0.45261561789234267","0.45261561789234267"
"15","0.46019711902956784","0.46019711902956784","0.46019711902956784","0.4670204700530705","0.4670204700530705","0.4670204700530705","0.46171341925701287","0.46171341925701287","0.46171341925701287","0.47687642153146326","0.47687642153146326","0.47687642153146326"
"20","0.47081122062168307","0.47081122062168307","0.47081122062168307","0.4836997725549659","0.4836997725549659","0.4836997725549659","0.4874905231235785","0.4874905231235785","0.4874905231235785","0.4844579226686884","0.4844579226686884","0.4844579226686884"
"25","0.4836997725549659","0.4836997725549659","0.4836997725549659","0.5026535253980288","0.5026535253980288","0.5026535253980288","0.4965883244882487","0.4965883244882487","0.4965883244882487","0.5026535253980288","0.5026535253980288","0.5026535253980288"
"30","0.488248673237301","0.488248673237301","0.488248673237301","0.4981046247156937","0.4981046247156937","0.4981046247156937","0.4874905231235785","0.4874905231235785","0.4874905231235785","0.5072024260803639","0.5072024260803639","0.5072024260803639"
"35","0.5034116755117514","0.5034116755117514","0.5034116755117514","0.5064442759666414","0.5064442759666414","0.5064442759666414","0.5109931766489765","0.5109931766489765","0.5109931766489765","0.5079605761940864","0.5079605761940864","0.5079605761940864"
"40","0.510235026535254","0.510235026535254","0.510235026535254","0.5193328278999242","0.5193328278999242","0.5193328278999242","0.5238817285822593","0.5238817285822593","0.5238817285822593","0.5246398786959818","0.5246398786959818","0.5246398786959818"
"45","0.5041698256254739","0.5041698256254739","0.5041698256254739","0.5223654283548143","0.5223654283548143","0.5223654283548143","0.5216072782410918","0.5216072782410918","0.5216072782410918","0.5291887793783169","0.5291887793783169","0.5291887793783169"
