"Relative Time (Process)","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p2b4-gamma2.0-lam1.0-01182022 - val-core/GSM8K/reward/mean@1","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p2b4-gamma2.0-lam1.0-01182022 - val-core/GSM8K/reward/mean@1__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p2b4-gamma2.0-lam1.0-01182022 - val-core/GSM8K/reward/mean@1__MAX","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p2b4-gamma2.0-lam1.0-01182022 - _step","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p2b4-gamma2.0-lam1.0-01182022 - _step__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p2b4-gamma2.0-lam1.0-01182022 - _step__MAX","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1b4-gamma2.0-lam1.0-01182022 - val-core/GSM8K/reward/mean@1","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1b4-gamma2.0-lam1.0-01182022 - val-core/GSM8K/reward/mean@1__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1b4-gamma2.0-lam1.0-01182022 - val-core/GSM8K/reward/mean@1__MAX","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1b4-gamma2.0-lam1.0-01182022 - _step","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1b4-gamma2.0-lam1.0-01182022 - _step__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1b4-gamma2.0-lam1.0-01182022 - _step__MAX","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1b8-gamma2.0-lam1.0-expandall-01182022 - val-core/GSM8K/reward/mean@1","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1b8-gamma2.0-lam1.0-expandall-01182022 - val-core/GSM8K/reward/mean@1__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1b8-gamma2.0-lam1.0-expandall-01182022 - val-core/GSM8K/reward/mean@1__MAX","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1b8-gamma2.0-lam1.0-expandall-01182022 - _step","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1b8-gamma2.0-lam1.0-expandall-01182022 - _step__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1b8-gamma2.0-lam1.0-expandall-01182022 - _step__MAX","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - val-core/GSM8K/reward/mean@1","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - val-core/GSM8K/reward/mean@1__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - val-core/GSM8K/reward/mean@1__MAX","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - _step","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - _step__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - _step__MAX"
"96.641985253","","","","","","","0.43214556482183475","0.43214556482183475","0.43214556482183475","0","0","0","","","","","","","","","","","",""
"124.228964125","","","","","","","","","","","","","","","","","","","0.42835481425322214","0.42835481425322214","0.42835481425322214","0","0","0"
"125.007665233","0.4351781652767248","0.4351781652767248","0.4351781652767248","0","0","0","","","","","","","","","","","","","","","","","",""
"152.908263585","","","","","","","","","","","","","0.43669446550416985","0.43669446550416985","0.43669446550416985","0","0","0","","","","","",""
"425.734259966","","","","","","","0.444275966641395","0.444275966641395","0.444275966641395","5","5","5","","","","","","","","","","","",""
"589.163195526","0.44200151630022744","0.44200151630022744","0.44200151630022744","5","5","5","","","","","","","","","","","","","","","","","",""
"644.06955033","","","","","","","","","","","","","","","","","","","0.45034116755117515","0.45034116755117515","0.45034116755117515","5","5","5"
"773.38362603","","","","","","","0.4586808188021228","0.4586808188021228","0.4586808188021228","10","10","10","","","","","","","","","","","",""
"802.344609261","","","","","","","","","","","","","0.45716451857467777","0.45716451857467777","0.45716451857467777","5","5","5","","","","","",""
"1068.625842584","0.45261561789234267","0.45261561789234267","0.45261561789234267","10","10","10","","","","","","","","","","","","","","","","","",""
"1093.693107418","","","","","","","0.45716451857467777","0.45716451857467777","0.45716451857467777","15","15","15","","","","","","","","","","","",""
"1177.248990623","","","","","","","","","","","","","","","","","","","0.45261561789234267","0.45261561789234267","0.45261561789234267","10","10","10"
"1410.004753069","","","","","","","0.4829416224412434","0.4829416224412434","0.4829416224412434","20","20","20","","","","","","","","","","","",""
"1446.638878023","","","","","","","","","","","","","0.46626231993934797","0.46626231993934797","0.46626231993934797","10","10","10","","","","","",""
"1520.70507592","0.46474601971190294","0.46474601971190294","0.46474601971190294","15","15","15","","","","","","","","","","","","","","","","","",""
"1665.85405675","","","","","","","","","","","","","","","","","","","0.47687642153146326","0.47687642153146326","0.47687642153146326","15","15","15"
"1702.080880772","","","","","","","0.4836997725549659","0.4836997725549659","0.4836997725549659","25","25","25","","","","","","","","","","","",""
"1957.373748421","0.4874905231235785","0.4874905231235785","0.4874905231235785","20","20","20","","","","","","","","","","","","","","","","","",""
"1998.720020948","","","","","","","0.49583017437452614","0.49583017437452614","0.49583017437452614","30","30","30","","","","","","","","","","","",""
"2076.071139549","","","","","","","","","","","","","0.4700530705079606","0.4700530705079606","0.4700530705079606","15","15","15","","","","","",""
"2163.932252227","","","","","","","","","","","","","","","","","","","0.4844579226686884","0.4844579226686884","0.4844579226686884","20","20","20"
"2292.353364045","","","","","","","0.4973464746019712","0.4973464746019712","0.4973464746019712","35","35","35","","","","","","","","","","","",""
"2370.416038511","0.4973464746019712","0.4973464746019712","0.4973464746019712","25","25","25","","","","","","","","","","","","","","","","","",""
"2573.686846749","","","","","","","0.5056861258529188","0.5056861258529188","0.5056861258529188","40","40","40","","","","","","","","","","","",""
"2652.102115167","","","","","","","","","","","","","","","","","","","0.5026535253980288","0.5026535253980288","0.5026535253980288","25","25","25"
"2713.302275014","","","","","","","","","","","","","0.4844579226686884","0.4844579226686884","0.4844579226686884","20","20","20","","","","","",""
"2791.411565624","0.5018953752843063","0.5018953752843063","0.5018953752843063","30","30","30","","","","","","","","","","","","","","","","","",""
"2840.132621942","","","","","","","0.5064442759666414","0.5064442759666414","0.5064442759666414","45","45","45","","","","","","","","","","","",""
