"Step","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma1.0-lam1.0-01161659 - response_length/main_chain/mean","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma1.0-lam1.0-01161659 - response_length/main_chain/mean__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma1.0-lam1.0-01161659 - response_length/main_chain/mean__MAX","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma3.0-lam1.0-01161659 - response_length/main_chain/mean","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma3.0-lam1.0-01161659 - response_length/main_chain/mean__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma3.0-lam1.0-01161659 - response_length/main_chain/mean__MAX","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - response_length/main_chain/mean","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - response_length/main_chain/mean__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - response_length/main_chain/mean__MAX"
"1","267.75","267.75","267.75","278.0483093261719","278.0483093261719","278.0483093261719","270.70513916015625","270.70513916015625","270.70513916015625"
"2","300.6692810058594","300.6692810058594","300.6692810058594","297.5249938964844","297.5249938964844","297.5249938964844","299.2528381347656","299.2528381347656","299.2528381347656"
"3","318.9599914550781","318.9599914550781","318.9599914550781","311.2027893066406","311.2027893066406","311.2027893066406","316.3284912109375","316.3284912109375","316.3284912109375"
"4","269.8671875","269.8671875","269.8671875","284.4750061035156","284.4750061035156","284.4750061035156","283.00543212890625","283.00543212890625","283.00543212890625"
"5","318.4635314941406","318.4635314941406","318.4635314941406","315.8269348144531","315.8269348144531","315.8269348144531","317.5543518066406","317.5543518066406","317.5543518066406"
"6","301.2239685058594","301.2239685058594","301.2239685058594","307.7355651855469","307.7355651855469","307.7355651855469","313.8255310058594","313.8255310058594","313.8255310058594"
"7","299.1728820800781","299.1728820800781","299.1728820800781","297.1861572265625","297.1861572265625","297.1861572265625","301.3136901855469","301.3136901855469","301.3136901855469"
"8","311.629638671875","311.629638671875","311.629638671875","301.55426025390625","301.55426025390625","301.55426025390625","297.7010803222656","297.7010803222656","297.7010803222656"
"9","298.4228820800781","298.4228820800781","298.4228820800781","309.6409606933594","309.6409606933594","309.6409606933594","301.6983642578125","301.6983642578125","301.6983642578125"
"10","305.1277770996094","305.1277770996094","305.1277770996094","312.8829650878906","312.8829650878906","312.8829650878906","306.59722900390625","306.59722900390625","306.59722900390625"
