"Step","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - data/hard_failure_seeds_count","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - data/hard_failure_seeds_count__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - data/hard_failure_seeds_count__MAX"
"1","254","254","254"
"2","217","217","217"
"3","222","222","222"
"4","192","192","192"
"5","199","199","199"
"6","179","179","179"
"7","180","180","180"
"8","147","147","147"
"9","209","209","209"
"10","190","190","190"
"11","168","168","168"
"12","181","181","181"
"13","191","191","191"
"14","152","152","152"
"15","139","139","139"
"16","160","160","160"
"17","124","124","124"
"18","150","150","150"
"19","176","176","176"
"20","100","100","100"
"21","160","160","160"
"22","140","140","140"
"23","164","164","164"
"24","142","142","142"
"25","159","159","159"
"26","115","115","115"
"27","137","137","137"
"28","111","111","111"
"29","134","134","134"
"30","143","143","143"
"31","141","141","141"
"32","116","116","116"
"33","119","119","119"
"34","126","126","126"
"35","152","152","152"
"36","85","85","85"
"37","79","79","79"
"38","107","107","107"
"39","80","80","80"
"40","140","140","140"
"41","130","130","130"
"42","100","100","100"
"43","115","115","115"
"44","100","100","100"
"45","125","125","125"
"46","94","94","94"
"47","93","93","93"
"48","90","90","90"
"49","89","89","89"
"50","102","102","102"
"51","105","105","105"
"52","158","158","158"
"53","125","125","125"
"54","98","98","98"
"55","118","118","118"
"56","101","101","101"
"57","125","125","125"
"58","122","122","122"
"59","108","108","108"
"60","76","76","76"
"61","114","114","114"
"62","87","87","87"
"63","104","104","104"
"64","96","96","96"
"65","83","83","83"
"66","103","103","103"
"67","100","100","100"
"68","86","86","86"
"69","96","96","96"
"70","79","79","79"
"71","119","119","119"
"72","74","74","74"
"73","103","103","103"
"74","133","133","133"
"75","107","107","107"
"76","85","85","85"
"77","108","108","108"
"78","104","104","104"
"79","113","113","113"
"80","92","92","92"
"81","95","95","95"
"82","92","92","92"
"83","112","112","112"
"84","82","82","82"
"85","95","95","95"
"86","92","92","92"
"87","77","77","77"
"88","96","96","96"
"89","85","85","85"
"90","83","83","83"
"91","90","90","90"
"92","73","73","73"
"93","88","88","88"
"94","45","45","45"
"95","116","116","116"
"96","109","109","109"
"97","101","101","101"
"98","91","91","91"
"99","94","94","94"
"100","75","75","75"
"101","90","90","90"
"102","113","113","113"
"103","88","88","88"
"104","74","74","74"
"105","83","83","83"
"106","84","84","84"
"107","111","111","111"
"108","96","96","96"
"109","112","112","112"
"110","83","83","83"
"111","116","116","116"
"112","129","129","129"
"113","97","97","97"
"114","108","108","108"
"115","98","98","98"
"116","103","103","103"
"117","110","110","110"
"118","74","74","74"
"119","62","62","62"
"120","104","104","104"
"121","84","84","84"
"122","76","76","76"
"123","69","69","69"
"124","71","71","71"
"125","81","81","81"
"126","74","74","74"
"127","54","54","54"
"128","64","64","64"
"129","85","85","85"
"130","83","83","83"
"131","91","91","91"
"132","115","115","115"
"133","84","84","84"
"134","79","79","79"
"135","95","95","95"
"136","77","77","77"
"137","74","74","74"
"138","49","49","49"
"139","75","75","75"
"140","75","75","75"
"141","90","90","90"
"142","86","86","86"
"143","74","74","74"
"144","82","82","82"
"145","59","59","59"
"146","78","78","78"
"147","83","83","83"
"148","109","109","109"
"149","67","67","67"
"150","117","117","117"
"151","63","63","63"
"152","63","63","63"
"153","89","89","89"
"154","64","64","64"
"155","86","86","86"
"156","65","65","65"
"157","93","93","93"
"158","91","91","91"
"159","61","61","61"
"160","72","72","72"
"161","63","63","63"
"162","105","105","105"
"163","51","51","51"
"164","88","88","88"
"165","79","79","79"
"166","86","86","86"
"167","64","64","64"
"168","74","74","74"
"169","77","77","77"
"170","60","60","60"
"171","79","79","79"
"172","60","60","60"
"173","68","68","68"
"174","73","73","73"
"175","76","76","76"
"176","87","87","87"
"177","89","89","89"
"178","46","46","46"
"179","62","62","62"
"180","84","84","84"
"181","82","82","82"
"182","89","89","89"
"183","89","89","89"
"184","61","61","61"
"185","57","57","57"
"186","94","94","94"
"187","55","55","55"
"188","54","54","54"
"189","71","71","71"
"190","71","71","71"
"191","133","133","133"
"192","72","72","72"
"193","97","97","97"
"194","49","49","49"
"195","94","94","94"
"196","58","58","58"
"197","66","66","66"
"198","83","83","83"
"199","53","53","53"
"200","63","63","63"
"201","79","79","79"
"202","63","63","63"
"203","88","88","88"
"204","72","72","72"
"205","63","63","63"
"206","75","75","75"
"207","74","74","74"
"208","105","105","105"
"209","81","81","81"
"210","66","66","66"
"211","72","72","72"
"212","78","78","78"
"213","41","41","41"
"214","86","86","86"
"215","82","82","82"
"216","65","65","65"
"217","72","72","72"
"218","87","87","87"
"219","75","75","75"
"220","85","85","85"
"221","82","82","82"
"222","67","67","67"
"223","102","102","102"
"224","85","85","85"
"225","87","87","87"
"226","47","47","47"
"227","80","80","80"
"228","80","80","80"
"229","71","71","71"
"230","70","70","70"
"231","82","82","82"
"232","75","75","75"
"233","55","55","55"
"234","50","50","50"
"235","68","68","68"
"236","48","48","48"
"237","33","33","33"
"238","65","65","65"
"239","58","58","58"
"240","106","106","106"
"241","93","93","93"
"242","67","67","67"
"243","68","68","68"
"244","63","63","63"
"245","90","90","90"
"246","78","78","78"
"247","44","44","44"
"248","73","73","73"
"249","65","65","65"
"250","64","64","64"
"251","82","82","82"
"252","65","65","65"
"253","76","76","76"
"254","72","72","72"
"255","62","62","62"
"256","36","36","36"
"257","72","72","72"
"258","63","63","63"
"259","68","68","68"
"260","58","58","58"
"261","48","48","48"
"262","84","84","84"
"263","104","104","104"
"264","86","86","86"
"265","85","85","85"
"266","60","60","60"
"267","61","61","61"
"268","68","68","68"
"269","70","70","70"
"270","71","71","71"
"271","64","64","64"
"272","50","50","50"
"273","65","65","65"
"274","73","73","73"
"275","69","69","69"
"276","31","31","31"
"277","50","50","50"
"278","39","39","39"
"279","51","51","51"
"280","75","75","75"
"281","54","54","54"
"282","83","83","83"
"283","39","39","39"
"284","47","47","47"
"285","58","58","58"
"286","52","52","52"
"287","46","46","46"
"288","105","105","105"
"289","54","54","54"
"290","101","101","101"
"291","48","48","48"
"292","85","85","85"
"293","52","52","52"
"294","75","75","75"
"295","65","65","65"
"296","48","48","48"
"297","80","80","80"
"298","67","67","67"
"299","73","73","73"
"300","35","35","35"
"301","64","64","64"
"302","66","66","66"
"303","71","71","71"
"304","32","32","32"
"305","58","58","58"
"306","78","78","78"
"307","63","63","63"
"308","83","83","83"
"309","60","60","60"
"310","68","68","68"
"311","80","80","80"
"312","84","84","84"
"313","51","51","51"
"314","80","80","80"
