"Step","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - actor/main_chain/entropy","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - actor/main_chain/entropy__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - actor/main_chain/entropy__MAX","qwen2.5-0.5b-instruct-gsm8k-crpo-no-branch - actor/main_chain/entropy","qwen2.5-0.5b-instruct-gsm8k-crpo-no-branch - actor/main_chain/entropy__MIN","qwen2.5-0.5b-instruct-gsm8k-crpo-no-branch - actor/main_chain/entropy__MAX"
"1","0.4147096574306488","0.4147096574306488","0.4147096574306488","0.47230610251426697","0.47230610251426697","0.47230610251426697"
"2","0.4680320918560028","0.4680320918560028","0.4680320918560028","0.5108128786087036","0.5108128786087036","0.5108128786087036"
"3","0.4282466769218445","0.4282466769218445","0.4282466769218445","0.4650990068912506","0.4650990068912506","0.4650990068912506"
"4","0.5038093328475952","0.5038093328475952","0.5038093328475952","0.4636998176574707","0.4636998176574707","0.4636998176574707"
"5","0.415853887796402","0.415853887796402","0.415853887796402","0.4360521137714386","0.4360521137714386","0.4360521137714386"
"6","0.41718313097953796","0.41718313097953796","0.41718313097953796","0.40320631861686707","0.40320631861686707","0.40320631861686707"
"7","0.4203416407108307","0.4203416407108307","0.4203416407108307","0.3662668466567993","0.3662668466567993","0.3662668466567993"
"8","0.3855885863304138","0.3855885863304138","0.3855885863304138","0.3461744487285614","0.3461744487285614","0.3461744487285614"
"9","0.37950798869132996","0.37950798869132996","0.37950798869132996","0.43766283988952637","0.43766283988952637","0.43766283988952637"
"10","0.2933777868747711","0.2933777868747711","0.2933777868747711","0.3383798599243164","0.3383798599243164","0.3383798599243164"
"11","0.2875383794307709","0.2875383794307709","0.2875383794307709","0.33959123492240906","0.33959123492240906","0.33959123492240906"
"12","0.28975847363471985","0.28975847363471985","0.28975847363471985","0.2873654067516327","0.2873654067516327","0.2873654067516327"
"13","0.27681612968444824","0.27681612968444824","0.27681612968444824","0.3396446108818054","0.3396446108818054","0.3396446108818054"
"14","0.26404526829719543","0.26404526829719543","0.26404526829719543","0.2943076193332672","0.2943076193332672","0.2943076193332672"
"15","0.2210962474346161","0.2210962474346161","0.2210962474346161","0.24702996015548706","0.24702996015548706","0.24702996015548706"
"16","0.25768041610717773","0.25768041610717773","0.25768041610717773","0.2909982204437256","0.2909982204437256","0.2909982204437256"
"17","0.23899231851100922","0.23899231851100922","0.23899231851100922","0.2602260410785675","0.2602260410785675","0.2602260410785675"
"18","0.21088984608650208","0.21088984608650208","0.21088984608650208","0.23642508685588837","0.23642508685588837","0.23642508685588837"
"19","0.23058591783046722","0.23058591783046722","0.23058591783046722","0.22814500331878662","0.22814500331878662","0.22814500331878662"
"20","0.2094796895980835","0.2094796895980835","0.2094796895980835","0.24425069987773895","0.24425069987773895","0.24425069987773895"
"21","0.2003035992383957","0.2003035992383957","0.2003035992383957","0.21849556267261505","0.21849556267261505","0.21849556267261505"
"22","0.1959141492843628","0.1959141492843628","0.1959141492843628","0.22055169939994812","0.22055169939994812","0.22055169939994812"
"23","0.19569885730743408","0.19569885730743408","0.19569885730743408","0.1982230246067047","0.1982230246067047","0.1982230246067047"
"24","0.22806571424007416","0.22806571424007416","0.22806571424007416","0.2170940786600113","0.2170940786600113","0.2170940786600113"
"25","0.17865145206451416","0.17865145206451416","0.17865145206451416","0.19715940952301025","0.19715940952301025","0.19715940952301025"
"26","0.1888207048177719","0.1888207048177719","0.1888207048177719","0.2009444385766983","0.2009444385766983","0.2009444385766983"
"27","0.1784820556640625","0.1784820556640625","0.1784820556640625","0.19225162267684937","0.19225162267684937","0.19225162267684937"
"28","0.18432064354419708","0.18432064354419708","0.18432064354419708","0.2032494992017746","0.2032494992017746","0.2032494992017746"
"29","0.18297387659549713","0.18297387659549713","0.18297387659549713","0.18796132504940033","0.18796132504940033","0.18796132504940033"
"30","0.18981146812438965","0.18981146812438965","0.18981146812438965","0.19925233721733093","0.19925233721733093","0.19925233721733093"
"31","0.19387835264205933","0.19387835264205933","0.19387835264205933","0.17764584720134735","0.17764584720134735","0.17764584720134735"
"32","0.1665380597114563","0.1665380597114563","0.1665380597114563","0.1594248116016388","0.1594248116016388","0.1594248116016388"
"33","0.18931664526462555","0.18931664526462555","0.18931664526462555","0.18686442077159882","0.18686442077159882","0.18686442077159882"
"34","0.16565600037574768","0.16565600037574768","0.16565600037574768","0.19258253276348114","0.19258253276348114","0.19258253276348114"
"35","0.19697587192058563","0.19697587192058563","0.19697587192058563","0.1873343288898468","0.1873343288898468","0.1873343288898468"
"36","0.1661534309387207","0.1661534309387207","0.1661534309387207","0.18638865649700165","0.18638865649700165","0.18638865649700165"
"37","0.14970509707927704","0.14970509707927704","0.14970509707927704","0.13341623544692993","0.13341623544692993","0.13341623544692993"
"38","0.16030572354793549","0.16030572354793549","0.16030572354793549","0.16307485103607178","0.16307485103607178","0.16307485103607178"
"39","0.14401806890964508","0.14401806890964508","0.14401806890964508","0.1510261595249176","0.1510261595249176","0.1510261595249176"
"40","0.15895850956439972","0.15895850956439972","0.15895850956439972","0.16330194473266602","0.16330194473266602","0.16330194473266602"
"41","0.16191397607326508","0.16191397607326508","0.16191397607326508","0.16964569687843323","0.16964569687843323","0.16964569687843323"
"42","0.15888172388076782","0.15888172388076782","0.15888172388076782","0.1670742779970169","0.1670742779970169","0.1670742779970169"
"43","0.16305406391620636","0.16305406391620636","0.16305406391620636","0.1602160781621933","0.1602160781621933","0.1602160781621933"
"44","0.1544954627752304","0.1544954627752304","0.1544954627752304","0.15946312248706818","0.15946312248706818","0.15946312248706818"
"45","0.17506499588489532","0.17506499588489532","0.17506499588489532","0.17271694540977478","0.17271694540977478","0.17271694540977478"
"46","0.16812972724437714","0.16812972724437714","0.16812972724437714","0.15432658791542053","0.15432658791542053","0.15432658791542053"
"47","0.14298488199710846","0.14298488199710846","0.14298488199710846","0.14424008131027222","0.14424008131027222","0.14424008131027222"
"48","0.13580621778964996","0.13580621778964996","0.13580621778964996","0.1374754011631012","0.1374754011631012","0.1374754011631012"
"49","0.1439344733953476","0.1439344733953476","0.1439344733953476","0.14450617134571075","0.14450617134571075","0.14450617134571075"
"50","0.13402263820171356","0.13402263820171356","0.13402263820171356","0.13727879524230957","0.13727879524230957","0.13727879524230957"
"51","0.14833958446979523","0.14833958446979523","0.14833958446979523","0.15640096366405487","0.15640096366405487","0.15640096366405487"
"52","0.16508324444293976","0.16508324444293976","0.16508324444293976","0.13892413675785065","0.13892413675785065","0.13892413675785065"
"53","0.16430853307247162","0.16430853307247162","0.16430853307247162","0.14379814267158508","0.14379814267158508","0.14379814267158508"
"54","0.1336967647075653","0.1336967647075653","0.1336967647075653","0.13336153328418732","0.13336153328418732","0.13336153328418732"
"55","0.13863062858581543","0.13863062858581543","0.13863062858581543","0.1494773030281067","0.1494773030281067","0.1494773030281067"
"56","0.13808582723140717","0.13808582723140717","0.13808582723140717","0.14023704826831818","0.14023704826831818","0.14023704826831818"
"57","0.14854738116264343","0.14854738116264343","0.14854738116264343","0.14640319347381592","0.14640319347381592","0.14640319347381592"
"58","0.1463201940059662","0.1463201940059662","0.1463201940059662","0.1550111323595047","0.1550111323595047","0.1550111323595047"
"59","0.15932531654834747","0.15932531654834747","0.15932531654834747","0.15829189121723175","0.15829189121723175","0.15829189121723175"
"60","0.1506059169769287","0.1506059169769287","0.1506059169769287","0.13939432799816132","0.13939432799816132","0.13939432799816132"
"61","0.12713871896266937","0.12713871896266937","0.12713871896266937","0.1294575184583664","0.1294575184583664","0.1294575184583664"
"62","0.1495150774717331","0.1495150774717331","0.1495150774717331","0.14954303205013275","0.14954303205013275","0.14954303205013275"
"63","0.13495546579360962","0.13495546579360962","0.13495546579360962","0.1297273486852646","0.1297273486852646","0.1297273486852646"
"64","0.1595928966999054","0.1595928966999054","0.1595928966999054","0.14038676023483276","0.14038676023483276","0.14038676023483276"
"65","0.12439114600419998","0.12439114600419998","0.12439114600419998","0.13589608669281006","0.13589608669281006","0.13589608669281006"
"66","0.1376689225435257","0.1376689225435257","0.1376689225435257","0.16114872694015503","0.16114872694015503","0.16114872694015503"
"67","0.1451185941696167","0.1451185941696167","0.1451185941696167","0.1392776519060135","0.1392776519060135","0.1392776519060135"
"68","0.12867631018161774","0.12867631018161774","0.12867631018161774","0.13484220206737518","0.13484220206737518","0.13484220206737518"
"69","0.13438136875629425","0.13438136875629425","0.13438136875629425","0.14066806435585022","0.14066806435585022","0.14066806435585022"
"70","0.11189272254705429","0.11189272254705429","0.11189272254705429","0.13664168119430542","0.13664168119430542","0.13664168119430542"
"71","0.13984447717666626","0.13984447717666626","0.13984447717666626","0.134347602725029","0.134347602725029","0.134347602725029"
"72","0.12757998704910278","0.12757998704910278","0.12757998704910278","0.1257329285144806","0.1257329285144806","0.1257329285144806"
