"Step","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - response_length/main_chain/mean","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - response_length/main_chain/mean__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - response_length/main_chain/mean__MAX","qwen2.5-0.5b-instruct-gsm8k-crpo-no-branch - response_length/main_chain/mean","qwen2.5-0.5b-instruct-gsm8k-crpo-no-branch - response_length/main_chain/mean__MIN","qwen2.5-0.5b-instruct-gsm8k-crpo-no-branch - response_length/main_chain/mean__MAX"
"1","270.70513916015625","270.70513916015625","270.70513916015625","265.7147521972656","265.7147521972656","265.7147521972656"
"2","299.2528381347656","299.2528381347656","299.2528381347656","313.26190185546875","313.26190185546875","313.26190185546875"
"3","316.3284912109375","316.3284912109375","316.3284912109375","301.9111022949219","301.9111022949219","301.9111022949219"
"4","283.00543212890625","283.00543212890625","283.00543212890625","279.94952392578125","279.94952392578125","279.94952392578125"
"5","317.5543518066406","317.5543518066406","317.5543518066406","307.0909118652344","307.0909118652344","307.0909118652344"
"6","313.8255310058594","313.8255310058594","313.8255310058594","310.438720703125","310.438720703125","310.438720703125"
"7","301.3136901855469","301.3136901855469","301.3136901855469","281.4293518066406","281.4293518066406","281.4293518066406"
"8","297.7010803222656","297.7010803222656","297.7010803222656","288.5392150878906","288.5392150878906","288.5392150878906"
"9","301.6983642578125","301.6983642578125","301.6983642578125","312.1222229003906","312.1222229003906","312.1222229003906"
"10","306.59722900390625","306.59722900390625","306.59722900390625","291.5664978027344","291.5664978027344","291.5664978027344"
"11","298.1927185058594","298.1927185058594","298.1927185058594","293.94232177734375","293.94232177734375","293.94232177734375"
"12","317.62750244140625","317.62750244140625","317.62750244140625","307.6222229003906","307.6222229003906","307.6222229003906"
"13","315.6428527832031","315.6428527832031","315.6428527832031","295.8108215332031","295.8108215332031","295.8108215332031"
"14","294.67987060546875","294.67987060546875","294.67987060546875","293.98126220703125","293.98126220703125","293.98126220703125"
"15","312.8385314941406","312.8385314941406","312.8385314941406","303.8928527832031","303.8928527832031","303.8928527832031"
"16","301.1983642578125","301.1983642578125","301.1983642578125","285.2865905761719","285.2865905761719","285.2865905761719"
"17","295.0113525390625","295.0113525390625","295.0113525390625","294.2994689941406","294.2994689941406","294.2994689941406"
"18","318.2027893066406","318.2027893066406","318.2027893066406","303.76275634765625","303.76275634765625","303.76275634765625"
"19","327.1875","327.1875","327.1875","319.29998779296875","319.29998779296875","319.29998779296875"
"20","300.6944580078125","300.6944580078125","300.6944580078125","301.0833435058594","301.0833435058594","301.0833435058594"
"21","307.44232177734375","307.44232177734375","307.44232177734375","313.67120361328125","313.67120361328125","313.67120361328125"
"22","304.00543212890625","304.00543212890625","304.00543212890625","294.875","294.875","294.875"
"23","325.30792236328125","325.30792236328125","325.30792236328125","311.12811279296875","311.12811279296875","311.12811279296875"
"24","330.59942626953125","330.59942626953125","330.59942626953125","306.66192626953125","306.66192626953125","306.66192626953125"
"25","312.1847839355469","312.1847839355469","312.1847839355469","301.8505554199219","301.8505554199219","301.8505554199219"
"26","315.59686279296875","315.59686279296875","315.59686279296875","295.06390380859375","295.06390380859375","295.06390380859375"
"27","295.9146423339844","295.9146423339844","295.9146423339844","287.9444580078125","287.9444580078125","287.9444580078125"
"28","348.2678527832031","348.2678527832031","348.2678527832031","315.41876220703125","315.41876220703125","315.41876220703125"
"29","319.9305419921875","319.9305419921875","319.9305419921875","291.9156188964844","291.9156188964844","291.9156188964844"
"30","320.18243408203125","320.18243408203125","320.18243408203125","307.2742919921875","307.2742919921875","307.2742919921875"
"31","326.59783935546875","326.59783935546875","326.59783935546875","316.74127197265625","316.74127197265625","316.74127197265625"
"32","336.0723571777344","336.0723571777344","336.0723571777344","307.13751220703125","307.13751220703125","307.13751220703125"
"33","319.1133728027344","319.1133728027344","319.1133728027344","298.5765380859375","298.5765380859375","298.5765380859375"
"34","304.3511962890625","304.3511962890625","304.3511962890625","301.16552734375","301.16552734375","301.16552734375"
"35","328.54376220703125","328.54376220703125","328.54376220703125","309.4709167480469","309.4709167480469","309.4709167480469"
"36","315.99444580078125","315.99444580078125","315.99444580078125","310.577392578125","310.577392578125","310.577392578125"
"37","309.44287109375","309.44287109375","309.44287109375","296.3541564941406","296.3541564941406","296.3541564941406"
"38","319.2788391113281","319.2788391113281","319.2788391113281","286.4233093261719","286.4233093261719","286.4233093261719"
"39","320.875","320.875","320.875","293.4148864746094","293.4148864746094","293.4148864746094"
"40","305.23162841796875","305.23162841796875","305.23162841796875","278.99652099609375","278.99652099609375","278.99652099609375"
"41","308.13519287109375","308.13519287109375","308.13519287109375","311.8984375","311.8984375","311.8984375"
"42","312.7878723144531","312.7878723144531","312.7878723144531","285.3422546386719","285.3422546386719","285.3422546386719"
"43","313.3367919921875","313.3367919921875","313.3367919921875","294.6219482421875","294.6219482421875","294.6219482421875"
"44","306.7035827636719","306.7035827636719","306.7035827636719","292.8992919921875","292.8992919921875","292.8992919921875"
"45","313.95513916015625","313.95513916015625","313.95513916015625","292.17279052734375","292.17279052734375","292.17279052734375"
"46","309.4186096191406","309.4186096191406","309.4186096191406","295.0059509277344","295.0059509277344","295.0059509277344"
"47","292.5821533203125","292.5821533203125","292.5821533203125","284.80792236328125","284.80792236328125","284.80792236328125"
"48","315.5535583496094","315.5535583496094","315.5535583496094","313.3719482421875","313.3719482421875","313.3719482421875"
"49","318.868408203125","318.868408203125","318.868408203125","308.0365905761719","308.0365905761719","308.0365905761719"
"50","311.9672546386719","311.9672546386719","311.9672546386719","308.78204345703125","308.78204345703125","308.78204345703125"
"51","292.09539794921875","292.09539794921875","292.09539794921875","283.99652099609375","283.99652099609375","283.99652099609375"
"52","329.243896484375","329.243896484375","329.243896484375","309.7361145019531","309.7361145019531","309.7361145019531"
"53","294.0265197753906","294.0265197753906","294.0265197753906","293.878662109375","293.878662109375","293.878662109375"
"54","325.3992919921875","325.3992919921875","325.3992919921875","288.0382080078125","288.0382080078125","288.0382080078125"
